vaccine_time,vaccine_amount,lambda_v1,lambda_v2,second_dose_time,vaccine_type,dose_type,effect_time
7/3/21,[0.002108088],[0.8],[0.9],[21],[1],[2],14
7/4/21,[0.000899315],[0.8],[0.9],[21],[1],[2],14
7/5/21,[0.000836594],[0.8],[0.9],[21],[1],[2],14
7/6/21,[0.000333438],[0.8],[0.9],[21],[1],[2],14
7/7/21,[0],[0.8],[0.9],[21],[1],[2],14
7/8/21,[0.001814312],[0.8],[0.9],[21],[1],[2],14
7/9/21,[0.001175566],[0.8],[0.9],[21],[1],[2],14
7/10/21,[0.001065804],[0.8],[0.9],[21],[1],[2],14
7/11/21,[0.000949124],[0.8],[0.9],[21],[1],[2],14
7/12/21,[0.000810767],[0.8],[0.9],[21],[1],[2],14
7/13/21,[0.000787247],[0.8],[0.9],[21],[1],[2],14
7/14/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/15/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/16/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/17/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/18/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/19/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/20/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/21/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/22/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/23/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/24/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/25/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/26/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/27/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/28/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/29/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/30/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
7/31/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/1/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/2/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/3/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/4/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/5/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/6/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/7/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/8/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/9/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/10/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/11/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/12/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/13/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/14/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/15/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/16/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/17/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/18/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/19/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/20/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/21/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/22/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/23/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/24/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/25/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/26/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/27/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/28/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/29/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/30/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
8/31/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/1/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/2/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/3/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/4/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/5/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/6/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/7/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/8/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/9/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/10/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/11/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/12/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/13/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/14/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/15/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/16/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/17/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/18/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/19/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/20/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/21/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/22/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/23/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/24/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/25/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/26/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/27/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/28/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/29/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
9/30/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/1/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/2/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/3/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/4/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/5/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/6/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/7/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/8/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/9/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/10/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/11/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/12/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/13/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/14/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/15/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/16/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/17/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/18/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/19/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/20/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
10/21/21,[0.000922375],[0.8],[0.9],[21],[1],[2],14
