date,total_deaths,hospital_deaths
6/24/21 0:00,0,0
6/25/21 0:00,0,0
6/26/21 0:00,0,0
6/27/21 0:00,0,0
6/28/21 0:00,0,0
6/29/21 0:00,2,2
6/30/21 0:00,1,1
7/1/21 0:00,0,0
7/2/21 0:00,0,0
7/3/21 0:00,2,2
7/4/21 0:00,0,0
7/5/21 0:00,0,0
7/6/21 0:00,1,1
7/7/21 0:00,0,0
7/8/21 0:00,3,1
7/9/21 0:00,2,1
7/10/21 0:00,0,0
7/11/21 0:00,1,1
7/12/21 0:00,2,2
7/13/21 0:00,1,1
7/14/21 0:00,1,1
7/15/21 0:00,0,0
7/16/21 0:00,3,3
7/17/21 0:00,2,0
7/18/21 0:00,2,0
7/19/21 0:00,4,0
7/20/21 0:00,2,1
7/21/21 0:00,5,2
7/22/21 0:00,2,1
7/23/21 0:00,5,2
7/24/21 0:00,5,2
7/25/21 0:00,3,3
7/26/21 0:00,1,1
7/27/21 0:00,3,3
7/28/21 0:00,4,1
7/29/21 0:00,2,1
7/30/21 0:00,1,0
7/31/21 0:00,3,1
8/1/21 0:00,8,4
8/2/21 0:00,6,3
8/3/21 0:00,4,3
8/4/21 0:00,7,6
8/5/21 0:00,4,1
8/6/21 0:00,8,4
8/7/21 0:00,12,8
8/8/21 0:00,6,4
8/9/21 0:00,12,9
8/10/21 0:00,9,9
8/11/21 0:00,9,9
8/12/21 0:00,11,6
8/13/21 0:00,12,9
8/14/21 0:00,6,5
8/15/21 0:00,9,5
8/16/21 0:00,12,7
8/17/21 0:00,8,4
8/18/21 0:00,14,6
8/19/21 0:00,15,9
8/20/21 0:00,12,7
8/21/21 0:00,12,8
8/22/21 0:00,8,3
8/23/21 0:00,11,6
8/24/21 0:00,13,8
8/25/21 0:00,18,6
8/26/21 0:00,10,5
8/27/21 0:00,16,9
8/28/21 0:00,15,8
8/29/21 0:00,16,14
8/30/21 0:00,16,9
8/31/21 0:00,8,8
9/1/21 0:00,11,7
9/2/21 0:00,11,8
9/3/21 0:00,14,14
9/4/21 0:00,10,9
9/5/21 0:00,11,11
9/6/21 0:00,8,8
9/7/21 0:00,7,7
9/8/21 0:00,5,5
9/9/21 0:00,7,6
9/10/21 0:00,10,10
9/11/21 0:00,6,6
9/12/21 0:00,7,7
9/13/21 0:00,4,4
9/14/21 0:00,9,9
9/15/21 0:00,7,7
9/16/21 0:00,6,6
9/17/21 0:00,0,0
